"","seq","vname","vdesc","vtype","vrule","sector","var7","stoch","var8","var9","decomp"
"CENG",1,"CENG","Consumption of crude energy (oil, coal, natural gas),  2009 $","B.4","A","sector_c.5","4","OT",1,0,16
"D01Q4",2,"D01Q4","Dummy, destruction of World Trade Center","X.7","","","1","NO",0,0,27
"D2002",3,"D2002","Dummy,","X.7","","","1","NO",0,0,27
"D2003",4,"D2003","Dummy,","X.7","","","1","NO",0,0,27
"D69",5,"D69","Dummy, post-1968 indicator","X.2","","","1","NO",0,0,14
"D79A",6,"D79A","Dummy, post-1979 indicator","X.2","","","1","NO",0,0,27
"D8095",7,"D8095","Dummy, 1980-1995 indicator","X.2","","","1","NO",0,0,14
"D81",8,"D81","Dummy, post-1980 indicator","X.2","","","1","NO",0,0,14
"D83",9,"D83","Dummy, post-1983 indicator","X.2","","","1","NO",0,0,27
"D86",10,"D86","Dummy, post-1985 indicator","X.2","","","1","NO",0,0,27
"D87",11,"D87","Dummy, post-1986 indicator","X.2","","","1","NO",0,0,14
"DCON",12,"DCON","Dummy, 0 prior to 1986, 1 after 1988, with a linear trend in between","X.2","","","1","NO",0,0,27
"DDOCKM",13,"DDOCKM","Dock strike dummy, import equation","X.2","","","4","NO",0,0,27
"DDOCKX",14,"DDOCKX","Dock strike dummy, export equation","X.7","","","4","NO",0,0,27
"DELRFF",15,"DELRFF","Federal funds rate, first diff","I","A","sector_i.14","1","NO",0,0,28
"DEUC",16,"DEUC","EUC switch:  1 for including EUC, 0 for not including","X.2","","","1","NO",0,0,1
"DFMPRR",17,"DFMPRR","Dummy, Foreign monetary policy switch:  Exogenous real interest rate","X.2","","","1","NO",0,0,27
"DFPDBT",18,"DFPDBT","Fiscal policy switch:  1 for debt ratio stabilization","X.2","","","1","NO",0,0,14
"DFPEX",19,"DFPEX","Fiscal policy switch:  1 for exogenous personal income trend tax rates","X.2","","","1","NO",0,0,14
"DFPSRP",20,"DFPSRP","Fiscal policy switch:  1 for surplus ratio stabilization","X.2","","","1","NO",0,0,14
"DGLPRD",21,"DGLPRD","Switch to control for long-run productivity growth in the government sector","X.2","","","1","NO",0,0,27
"DMPALT",22,"DMPALT","Monetary policy switch: MA rule","X.2","","","1","NO",0,0,1
"DMPEX",23,"DMPEX","Monetary policy switch:  exogenous federal funds rate","X.2","","","1","NO",0,0,1
"DMPGEN",24,"DMPGEN","Monetary policy switch:  Generalized reaction function","X.2","","","1","NO",0,0,1
"DMPINTAY",25,"DMPINTAY","Monetary policy switch:  inertial taylor rule","X.2","","","1","NO",0,0,1
"DMPRR",26,"DMPRR","Monetary policy switch:  exogenous real federal funds rate","X.2","","","1","NO",0,0,1
"DMPSTB",27,"DMPSTB","Stabilization  switch:  0 for standard applications, 1 for stochastic simulations","X.2","","","1","NO",0,0,1
"DMPTAY",28,"DMPTAY","Monetary policy switch:  Taylor's reaction function","X.2","","","1","NO",0,0,1
"DMPTLR",29,"DMPTLR","Monetary policy switch:  Taylor's reaction function with unemployment gap","X.2","","","1","NO",0,0,1
"DMPTLUR",30,"DMPTLUR","Monetary policy indicator for unemployment threshold","B","A","sector_i.8","1","NO",0,0,1
"DMPTMAX",31,"DMPTMAX","Monetary policy indicator for both thresholds","B","A","sector_i.10","1","NO",0,0,1
"DMPTPI",32,"DMPTPI","Monetary policy indicator for inflation threshold","B","A","sector_i.9","1","NO",0,0,1
"DMPTR",33,"DMPTR","Monetary policy indicator for policy rule thresholds","B","A","sector_i.11","1","NO",0,0,1
"DMPTRSH",34,"DMPTRSH","Monetary policy threshold switch:  0 for no threshold,  1 for threshold","X.2","","","1","NO",0,0,1
"DPADJ",35,"DPADJ","Price inflation aggregation adjustment","B","A","sector_g.27","1","NO",0,0,28
"DPGAP",36,"DPGAP","Price inflation aggregation discrepancy","I","A","sector_g.26","1","NO",0,0,28
"DRSTAR",37,"DRSTAR","RSTAR updating switch: 1 is on, 0 is off","X.2","","","1","NO",0,0,27
"EC",38,"EC","Consumption, cw 2009$ (FRB/US definition)","I","A","sector_a.17","4","NO",1,0,11
"ECD",39,"ECD","Consumer expenditures on durable goods, cw 2009$","B.4","A","sector_a.2","4","IS",1,0,6
"ECH",40,"ECH","Consumer expenditures on housing services, cw 2009$","B.4","A","sector_a.4","4","IS",1,0,6
"ECNIA",41,"ECNIA","Personal consumption expenditures, cw 2009$ (NIPA definition)","I","A","sector_a.9","4","NO",1,0,11
"ECNIAN",42,"ECNIAN","Personal consumption expenditures, current $ (NIPA definition)","I","A","sector_a.10","4","NO",0,2,24
